 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  v   
 -2.7912 -2.6294 -2.5009 -2.3946 -2.3035 -2.2235 -2.1527 -2.0876 -2.0272 -1.9772
 -7.8171 -7.4285 -7.0905 -6.7956 -6.5391 -6.3186 -6.1304 -5.9680 -5.8246 -5.6953
 -5.5697 -5.4256 -5.2533 -5.0641 -4.8617 -4.3380 -3.9058 -3.5522 -3.2509 -2.9985
 -2.7969 -2.6419 -2.5216 -2.4242 -2.3420 -2.2708 -2.2083 -2.1528 -2.1032 -2.0591
 -2.0233
 -8.2748 -7.8026 -7.3950 -7.0410 -6.7318 -6.4607 -6.2229 -6.0145 -5.8299 -5.6623
 -5.5058 -5.3572 -5.2097 -5.0472 -4.8617 -4.3501 -3.9073 -3.5536 -3.2575 -3.0090
 -2.8212 -2.6561 -2.5407 -2.4505 -2.3764 -2.3132 -2.2586 -2.2103 -2.1682 -2.1327
 -2.1039
 -8.8755 -8.3044 -7.8094 -7.3808 -7.0068 -6.6781 -6.3880 -6.1314 -5.9031 -5.6980
 -5.5101 -5.3340 -5.1669 -5.0073 -4.8464 -4.3836 -3.9327 -3.5704 -3.2742 -3.0262
 -2.8245 -2.6691 -2.5546 -2.4692 -2.4022 -2.3472 -2.3007 -2.2606 -2.2260 -2.1964
 -2.1721
 -9.5727 -8.9235 -8.3441 -7.8361 -7.3861 -6.9884 -6.6365 -6.3256 -6.0491 -5.8020
 -5.5789 -5.3742 -5.1833 -5.0038 -4.8340 -4.4125 -3.9853 -3.6099 -3.3073 -3.0562
 -2.8495 -2.6872 -2.5676 -2.4821 -2.4195 -2.3711 -2.3324 -2.3003 -2.2735 -2.2509
 -2.2303
-10.3058 -9.6031 -8.9621 -8.3796 -7.8579 -7.3887 -6.9695 -6.5960 -6.2644 -5.9698
 -5.7064 -5.4686 -5.2510 -5.0494 -4.8610 -4.4297 -4.0331 -3.6640 -3.3511 -3.0942
 -2.8813 -2.7100 -2.5810 -2.4896 -2.4266 -2.3822 -2.3500 -2.3255 -2.3064 -2.2915
 -2.2797
-11.0243-10.2869 -9.6036 -8.9711 -8.3909 -7.8605 -7.3784 -6.9422 -6.5512 -6.2031
 -5.8936 -5.6175 -5.3687 -5.1416 -4.9274 -4.4352 -4.0761 -3.7327 -3.4056
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  v   
 -7.8825 -7.9086 -7.9282 -7.9373 -7.9327 -7.9079 -7.8569 -7.7752 -7.6608 -7.5116
 -7.3282 -7.1122 -6.8697 -6.6111 -6.3475 -5.7095 -5.1110 -4.5223 -3.9709
 -7.3484 -7.3691 -7.3863 -7.3954 -7.3919 -7.3715 -7.3292 -7.2593 -7.1589 -7.0245
 -6.8534 -6.6460 -6.4083 -6.1541 -5.8971 -5.2902 -4.7389 -4.2301 -3.7657 -3.3661
 -6.9059 -6.9103 -6.9187 -6.9240 -6.9202 -6.9026 -6.8664 -6.8068 -6.7205 -6.6040
 -6.4538 -6.2679 -6.0486 -5.8077 -5.5616 -4.9857 -4.4784 -4.0224 -3.6132 -3.2608
 -2.9706
 -6.6208 -6.5756 -6.5561 -6.5472 -6.5375 -6.5193 -6.4870 -6.4355 -6.3616 -6.2621
 -6.1337 -5.9733 -5.7791 -5.5573 -5.3237 -4.7724 -4.2967 -3.8779 -3.5064 -3.1877
 -2.9242 -2.7119
 -6.6540 -6.4847 -6.3733 -6.3043 -6.2638 -6.2339 -6.1992 -6.1511 -6.0854 -5.9990
 -5.8887 -5.7514 -5.5834 -5.3845 -5.1653 -4.6312 -4.1752 -3.7820 -3.4363 -3.1409
 -2.8970 -2.7008 -2.5431 -2.4126
 -6.9148 -6.6549 -6.4420 -6.2775 -6.1584 -6.0774 -6.0199 -5.9665 -5.8992 -5.8155
 -5.7139 -5.5919 -5.4457 -5.2709 -5.0691 -4.5477 -4.1009 -3.7236 -3.3955 -3.1156
 -2.8854 -2.7004 -2.5536 -2.4343 -2.3338 -2.2466 -2.1696 -2.0993 -2.0341 -1.9793
 -7.2361 -6.9189 -6.6432 -6.4089 -6.2170 -6.0642 -5.9458 -5.8587 -5.7915 -5.7175
 -5.6198 -5.4990 -5.3594 -5.2000 -5.0189 -4.5110 -4.0641 -3.6944 -3.3781 -3.1079
 -2.8861 -2.7085 -2.5687 -2.4576 -2.3661 -2.2883 -2.2207 -2.1611 -2.1078 -2.0600
 -2.0190
 -7.6338 -7.2482 -6.9139 -6.6236 -6.3734 -6.1629 -5.9888 -5.8466 -5.7308 -5.6336
 -5.5431 -5.4445 -5.3215 -5.1713 -5.0009 -4.5134 -4.0594 -3.6890 -3.3789 -3.1144
 -2.8963 -2.7222 -2.5861 -2.4804 -2.3962 -2.3264 -2.2671 -2.2157 -2.1710 -2.1323
 -2.0977
 -8.1827 -7.6844 -7.2696 -6.9135 -6.6060 -6.3404 -6.1130 -5.9203 -5.7575 -5.6178
