 [Fe/H] = -4.00 [alpha/Fe] = 0.40 BC value =  i   
 -1.0879 -1.0687 -1.0471 -1.0128 -0.9721 -0.8885 -0.8442 -0.8300 -0.8313 -0.8416
 -0.8581 -0.8794 -0.9051 -0.9349 -0.9697
 -1.3492 -1.2939 -1.2433 -1.1965 -1.1544 -1.1187 -1.0908 -1.0706 -1.0567 -1.0463
 -1.0344 -1.0190 -1.0048 -0.9866 -0.9595 -0.8902 -0.8503 -0.8404 -0.8456 -0.8574
 -0.8740 -0.8946 -0.9187 -0.9461 -0.9770 -1.0119
 -1.2453 -1.2106 -1.1788 -1.1475 -1.1162 -1.0860 -1.0588 -1.0360 -1.0181 -1.0035
 -0.9899 -0.9759 -0.9610 -0.9503 -0.9331 -0.8847 -0.8503 -0.8435 -0.8535 -0.8692
 -0.8877 -0.9088 -0.9326 -0.9588 -0.9876 -1.0192 -1.0543 -1.0955 -1.1436 -1.1942
 -1.1276 -1.1093 -1.0943 -1.0796 -1.0626 -1.0432 -1.0223 -1.0022 -0.9843 -0.9692
 -0.9557 -0.9422 -0.9279 -0.9164 -0.9039 -0.8694 -0.8438 -0.8392 -0.8531 -0.8743
 -0.8970 -0.9206 -0.9456 -0.9721 -1.0000 -1.0298 -1.0622 -1.0976 -1.1392 -1.1884
 -1.2407
 -1.0154 -1.0024 -0.9957 -0.9945 -0.9917 -0.9855 -0.9750 -0.9618 -0.9480 -0.9350
 -0.9232 -0.9120 -0.9003 -0.8886 -0.8784 -0.8505 -0.8320 -0.8290 -0.8445 -0.8709
 -0.8963 -0.9276 -0.9556 -0.9840 -1.0128 -1.0422 -1.0732 -1.1080 -1.1467 -1.1889
 -1.2343
 -0.8774 -0.8901 -0.8970 -0.8988 -0.9066 -0.9122 -0.9139 -0.9109 -0.9045 -0.8963
 -0.8879 -0.8799 -0.8718 -0.8632 -0.8554 -0.8322 -0.8175 -0.8165 -0.8321 -0.8604
 -0.8940 -0.9281 -0.9612 -0.9931 -1.0243 -1.0552 -1.0863 -1.1183 -1.1519 -1.1887
 -1.2311
 -0.7565 -0.7783 -0.7921 -0.7985 -0.8137 -0.8276 -0.8396 -0.8475 -0.8511 -0.8508
 -0.8481 -0.8444 -0.8404 -0.8360 -0.8314 -0.8157 -0.8035 -0.8036 -0.8181 -0.8454
 -0.8810 -0.9199 -0.9586 -0.9957 -1.0311 -1.0649 -1.0980 -1.1307 -1.1637 -1.1981
 -1.2346
 -0.6433 -0.6671 -0.6887 -0.7083 -0.7292 -0.7504 -0.7698 -0.7735 -0.7869 -0.7961
 -0.8014 -0.8039 -0.8049 -0.8051 -0.8046 -0.7994 -0.7903 -0.7914 -0.8051 -0.8307
 -0.8654 -0.9058 -0.9486 -0.9910 -1.0316 -1.0699 -1.1065 -1.1416 -1.1759 -1.2102
 -1.2455
 -0.5379 -0.5565 -0.5871 -0.6283 -0.6531 -0.6805 -0.6834 -0.7059 -0.7259 -0.7327
 -0.7468 -0.7572 -0.7646 -0.7701 -0.7750 -0.7833 -0.7779 -0.7799 -0.7931
 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  i   
 -1.5920 -1.6141 -1.6995 -1.6991 -1.5831 -1.4674 -1.4556 -1.5007 -1.5038 -1.4343
 -1.3387 -1.2320 -1.1392 -1.0681 -1.0004 -0.8623
 -1.5553 -1.5071 -1.5081 -1.4861 -1.4276 -1.3757 -1.3659 -1.3767 -1.3685 -1.3282
 -1.2709 -1.2003 -1.1269 -1.0597 -0.9972 -0.8735 -0.8010 -0.7691 -0.7558
 -1.5277 -1.4340 -1.3775 -1.3365 -1.3080 -1.2915 -1.2825 -1.2746 -1.2619 -1.2413
 -1.2104 -1.1670 -1.1118 -1.0518 -0.9952 -0.8842 -0.8188 -0.7911 -0.7845 -0.7936
 -0.8160
 -1.5092 -1.3948 -1.3077 -1.2503 -1.2243 -1.2148 -1.2054 -1.1944 -1.1840 -1.1736
 -1.1572 -1.1321 -1.0939 -1.0444 -0.9944 -0.8944 -0.8347 -0.8101 -0.8076 -0.8171
 -0.8344 -0.8580 -0.8870
 -1.4998 -1.3895 -1.2987 -1.2275 -1.1765 -1.1456 -1.1346 -1.1361 -1.1348 -1.1251
 -1.1113 -1.0956 -1.0732 -1.0375 -0.9948 -0.9041 -0.8487 -0.8261 -0.8250 -0.8349
 -0.8514 -0.8730 -0.8991 -0.9291 -0.9640
 -1.4742 -1.3768 -1.2931 -1.2228 -1.1661 -1.1234 -1.0946 -1.0781 -1.0723 -1.0721
 -1.0672 -1.0563 -1.0439 -1.0233 -0.9910 -0.9105 -0.8585 -0.8375 -0.8386 -0.8499
 -0.8667 -0.8876 -0.9121 -0.9401 -0.9717 -1.0073
 -1.4231 -1.3430 -1.2728 -1.2111 -1.1576 -1.1126 -1.0772 -1.0512 -1.0334 -1.0217
 -1.0143 -1.0075 -0.9995 -0.9910 -0.9737 -0.9109 -0.8629 -0.8429 -0.8464 -0.8609
 -0.8796 -0.9012 -0.9254 -0.9523 -0.9817 -1.0141 -1.0500 -1.0918 -1.1403 -1.1909
 -1.3467 -1.2846 -1.2302 -1.1817 -1.1374 -1.0974 -1.0621 -1.0325 -1.0093 -0.9917
 -0.9775 -0.9655 -0.9546 -0.9476 -0.9387 -0.9000 -0.8608 -0.8420 -0.8470 -0.8656
 -0.8883 -0.9123 -0.9379 -0.9649 -0.9936 -1.0242 -1.0574 -1.0936 -1.1357 -1.1852
 -1.2375
 -1.2521 -1.2054 -1.1654 -1.1308 -1.0989 -1.0686 -1.0392 -1.0115 -0.9872 -0.9671
 -0.9505 -0.9362 -0.9230 -0.9115 -0.9035 -0.8761 -0.8502 -0.8352 -0.8409 -0.8627
 -0.8905 -0.9190 -0.9475 -0.9764 -1.0058 -1.0361 -1.0678 -1.1016 -1.1384 -1.1807
 -1.2313
 -1.1457 -1.1123 -1.0840 -1.0608 -1.0407 -1.0216 -1.0017 -0.9809 -0.9601 -0.9408
 -0.9241 -0.9098 -0.8969 -0.8847 -0.8753 -0.8508 -0.8324 -0.8233 -0.8299 -0.8532
 -0.8854 -0.9195 -0.9528 -0.9852 -1.0171 -1.0486 -1.0805 -1.1132 -1.1476 -1.1850
 -1.2280
 -1.0360 -1.0126 -0.9938 -0.9790 -0.9679 -0.9584 -0.9487 -0.9371 -0.9236 -0.9090
 -0.8946 -0.8817 -0.8704 -0.8602 -0.8512 -0.8297 -0.8139 -0.8090 -0.8167 -0.8393
 -0.8731 -0.9116 -0.9504 -0.9878 -1.0236 -1.0581 -1.0918 -1.1253 -1.1590 -1.1941
 -1.2313
 -0.9249 -0.9096 -0.8984 -0.8904 -0.8856 -0.8834 -0.8818 -0.8791 -0.8744 -0.8674
 -0.8585 -0.8492 -0.8405 -0.8328 -0.8262 -0.8108 -0.7973 -0.7943 -0.8034 -0.8250
 -0.8579 -0.8979 -0.9407 -0.9833 -1.0242 -1.0630 -1.1002 -1.1360 -1.1709 -1.2059
 -1.2418
 -0.8124 -0.8033 -0.8015 -0.7983 -0.7987 -0.8015 -0.8055 -0.8098 -0.8130 -0.8142
 -0.8130 -0.8099 -0.8056 -0.8013 -0.8003 -0.7941 -0.7826 -0.7792 -0.7900
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  i   
 -2.0206 -1.9371 -1.8713 -1.8242 -1.7720 -1.7149 -1.6465 -1.5699 -1.4865 -1.4031
 -1.3178 -1.2328 -1.1513 -1.0771 -0.9950 -0.8621
 -1.8305 -1.7487 -1.6821 -1.6264 -1.5793 -1.5356 -1.4901 -1.4394 -1.3844 -1.3274
 -1.2663 -1.2003 -1.1312 -1.0646 -0.9988 -0.8779 -0.8008 -0.7646 -0.7567
 -1.7017 -1.6072 -1.5336 -1.4765 -1.4318 -1.3960 -1.3648 -1.3321 -1.2975 -1.2606
 -1.2192 -1.1709 -1.1152 -1.0570 -1.0022 -0.8921 -0.8213 -0.7869 -0.7797 -0.7885
 -0.8074
 -1.6342 -1.5126 -1.4258 -1.3745 -1.3295 -1.2961 -1.2706 -1.2480 -1.2258 -1.2027
 -1.1765 -1.1446 -1.1033 -1.0543 -1.0052 -0.9047 -0.8392 -0.8063 -0.7995 -0.8079
 -0.8250 -0.8488 -0.8790
 -1.6126 -1.4719 -1.3691 -1.2993 -1.2539 -1.2246 -1.2044 -1.1875 -1.1697 -1.1522
 -1.1342 -1.1142 -1.0879 -1.0505 -1.0078 -0.9157 -0.8545 -0.8228 -0.8161 -0.8245
 -0.8411 -0.8630 -0.8897 -0.9206 -0.9565
 -1.6145 -1.4781 -1.3633 -1.2765 -1.2144 -1.1717 -1.1438 -1.1269 -1.1177 -1.1112
 -1.0980 -1.0821 -1.0643 -1.0405 -1.0064 -0.9232 -0.8658 -0.8355 -0.8290 -0.8382
 -0.8552 -0.8766 -0.9019 -0.9307 -0.9634 -1.0000
 -1.6075 -1.4779 -1.3661 -1.2728 -1.1977 -1.1399 -1.0977 -1.0694 -1.0532 -1.0482
 -1.0478 -1.0430 -1.0340 -1.0199 -0.9975 -0.9254 -0.8720 -0.8431 -0.8374 -0.8482
 -0.8669 -0.8892 -0.9143 -0.9420 -0.9725 -1.0060 -1.0431 -1.0859 -1.1348 -1.1853
 -1.5792 -1.4627 -1.3596 -1.2716 -1.1977 -1.1369 -1.0883 -1.0512 -1.0244 -1.0057
 -0.9938 -0.9879 -0.9842 -0.9803 -0.9718 -0.9214 -0.8728 -0.8455 -0.8403 -0.8531
 -0.8747 -0.8995 -0.9259 -0.9538 -0.9835 -1.0152 -1.0496 -1.0870 -1.1300 -1.1797
 -1.2321
 -1.5264 -1.4255 -1.3348 -1.2562 -1.1888 -1.1313 -1.0825 -1.0419 -1.0094 -0.9844
 -0.9650 -0.9500 -0.9389 -0.9323 -0.9286 -0.9039 -0.8675 -0.8426 -0.8379 -0.8518
 -0.8769 -0.9055 -0.9348 -0.9645 -0.9949 -1.0262 -1.0592 -1.0941 -1.1321 -1.1751
 -1.2261
 -1.4495 -1.3641 -1.2873 -1.2200 -1.1622 -1.1123 -1.0685 -1.0299 -0.9965 -0.9684
 -0.9453 -0.9265 -0.9108 -0.8980 -0.8899 -0.8723 -0.8521 -0.8344 -0.8308 -0.8451
 -0.8728 -0.9060 -0.9397 -0.9728 -1.0055 -1.0380 -1.0711 -1.1050 -1.1406 -1.1790
 -1.2227
 -1.3603 -1.2886 -1.2242 -1.1673 -1.1186 -1.0773 -1.0412 -1.0085 -0.9785 -0.9514
 -0.9276 -0.9073 -0.8900 -0.8753 -0.8634 -0.8432 -0.8292 -0.8203 -0.8200 -0.8339
 -0.8622 -0.8986 -0.9372 -0.9751 -1.0116 -1.0469 -1.0817 -1.1163 -1.1512 -1.1874
 -1.2256
 -1.2710 -1.2045 -1.1494 -1.1014 -1.0607 -1.0269 -0.9983 -0.9730 -0.9494 -0.9269
 -0.9056 -0.8863 -0.8693 -0.8547 -0.8424 -0.8203 -0.8068 -0.8026 -0.8065 -0.8210
 -0.8484 -0.8858 -0.9278 -0.9706 -1.0120 -1.0515 -1.0896 -1.1264 -1.1625 -1.1986
 -1.2355
 -1.1840 -1.1224 -1.0708 -1.0283 -0.9935 -0.9654 -0.9428 -0.9240 -0.9071 -0.8911
 -0.8752 -0.8596 -0.8450 -0.8319 -0.8269 -0.8036 -0.7849 -0.7813 -0.7903
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  i   
 -2.4207 -2.3322 -2.2508 -2.1678 -2.0879 -1.9881 -1.8567 -1.6948 -1.5466 -1.4228
 -1.3165 -1.2237 -1.1421 -1.0694 -1.0049 -0.8750
 -2.2060 -2.1090 -2.0248 -1.9464 -1.8716 -1.7890 -1.6868 -1.5653 -1.4555 -1.3613
 -1.2773 -1.1996 -1.1275 -1.0620 -1.0035 -0.8862 -0.8059 -0.7607 -0.7473
 -2.0403 -1.9347 -1.8460 -1.7685 -1.6972 -1.6273 -1.5487 -1.4590 -1.3780 -1.3068
 -1.2414 -1.1781 -1.1161 -1.0576 -1.0044 -0.8975 -0.8248 -0.7835 -0.7701 -0.7763
 -0.7945
 -1.9236 -1.8093 -1.7144 -1.6341 -1.5648 -1.5029 -1.4424 -1.3759 -1.3141 -1.2593
 -1.2088 -1.1592 -1.1079 -1.0562 -1.0076 -0.9089 -0.8417 -0.8029 -0.7893 -0.7946
 -0.8112 -0.8348 -0.8648
 -1.8410 -1.7075 -1.6062 -1.5292 -1.4627 -1.4050 -1.3541 -1.3041 -1.2562 -1.2134
 -1.1743 -1.1365 -1.0969 -1.0538 -1.0100 -0.9184 -0.8556 -0.8188 -0.8052 -0.8098
 -0.8258 -0.8482 -0.8757 -0.9078 -0.9451
 -1.7973 -1.6447 -1.5233 -1.4293 -1.3592 -1.3101 -1.2757 -1.2410 -1.2050 -1.1704
 -1.1384 -1.1086 -1.0791 -1.0463 -1.0092 -0.9246 -0.8657 -0.8310 -0.8179 -0.8223
 -0.8383 -0.8604 -0.8866 -0.9166 -0.9505 -0.9889
 -1.7928 -1.6331 -1.4960 -1.3828 -1.2939 -1.2272 -1.1814 -1.1542 -1.1373 -1.1221
 -1.1028 -1.0796 -1.0554 -1.0310 -1.0026 -0.9269 -0.8717 -0.8391 -0.8269 -0.8317
 -0.8485 -0.8714 -0.8976 -0.9266 -0.9585 -0.9935 -1.0323 -1.0766 -1.1263 -1.1766
 -1.7936 -1.6339 -1.4936 -1.3746 -1.2769 -1.1998 -1.1412 -1.0979 -1.0671 -1.0480
 -1.0387 -1.0326 -1.0226 -1.0074 -0.9878 -0.9248 -0.8736 -0.8430 -0.8318 -0.8374
 -0.8555 -0.8802 -0.9077 -0.9370 -0.9681 -1.0013 -1.0374 -1.0768 -1.1209 -1.1711
 -1.2230
 -1.7861 -1.6325 -1.4947 -1.3751 -1.2750 -1.1933 -1.1279 -1.0768 -1.0379 -1.0084
 -0.9869 -0.9730 -0.9660 -0.9615 -0.9552 -0.9169 -0.8710 -0.8427 -0.8325 -0.8387
 -0.8554 -0.8853 -0.9153 -0.9463 -0.9781 -1.0110 -1.0456 -1.0819 -1.1215 -1.1663
 -1.2173
 -1.7546 -1.6160 -1.4847 -1.3699 -1.2717 -1.1901 -1.1230 -1.0681 -1.0239 -0.9890
 -0.9616 -0.9401 -0.9237 -0.9129 -0.9072 -0.8924 -0.8629 -0.8380 -0.8290 -0.8357
 -0.8561 -0.8858 -0.9193 -0.9535 -0.9875 -1.0215 -1.0563 -1.0920 -1.1293 -1.1694
 -1.2140
 -1.7052 -1.5787 -1.4601 -1.3530 -1.2601 -1.1818 -1.1165 -1.0619 -1.0162 -0.9783
 -0.9471 -0.9218 -0.9010 -0.8843 -0.8720 -0.8564 -0.8435 -0.8287 -0.8216 -0.8283
 -0.8487 -0.8799 -0.9168 -0.9551 -0.9927 -1.0294 -1.0658 -1.1020 -1.1386 -1.1766
 -1.2163
 -1.6505 -1.5295 -1.4195 -1.3204 -1.2344 -1.1613 -1.1000 -1.0485 -1.0049 -0.9675
 -0.9354 -0.9081 -0.8851 -0.8660 -0.8503 -0.8263 -0.8161 -0.8113 -0.8104 -0.8180
 -0.8378 -0.8692 -0.9083 -0.9506 -0.9926 -1.0332 -1.0727 -1.1110 -1.1487 -1.1865
 -1.2250
 -1.6010 -1.4786 -1.3710 -1.2770 -1.1963 -1.1282 -1.0713 -1.0240 -0.9842 -0.9500
 -0.9199 -0.8935 -0.8703 -0.8503 -0.8421 -0.8021 -0.7807 -0.7858 -0.7954
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  i   
 -3.0243 -2.9233 -2.8210 -2.7093 -2.5999 -2.4463 -2.2180 -1.9252 -1.6854 -1.4593
 -1.3203 -1.2158 -1.1326 -1.0620 -1.0004 -0.8777
 -2.7381 -2.6336 -2.5369 -2.4392 -2.3380 -2.2090 -2.0266 -1.7920 -1.5785 -1.4148
 -1.2934 -1.1987 -1.1213 -1.0559 -0.9992 -0.8870 -0.8065 -0.7571 -0.7354
 -2.5108 -2.3987 -2.3016 -2.2110 -2.1180 -2.0108 -1.8680 -1.6832 -1.5131 -1.3768
 -1.2707 -1.1852 -1.1135 -1.0525 -0.9997 -0.8959 -0.8236 -0.7786 -0.7586 -0.7598
 -0.7761
 -2.3424 -2.2186 -2.1151 -2.0247 -1.9400 -1.8517 -1.7422 -1.5988 -1.4608 -1.3453
 -1.2522 -1.1753 -1.1092 -1.0518 -1.0019 -0.9044 -0.8374 -0.7959 -0.7771 -0.7772
 -0.7917 -0.8150 -0.8457
 -2.2184 -2.0844 -1.9720 -1.8763 -1.7922 -1.7135 -1.6299 -1.5219 -1.4104 -1.3128
 -1.2317 -1.1637 -1.1040 -1.0508 -1.0037 -0.9114 -0.8484 -0.8096 -0.7920 -0.7916
 -0.8048 -0.8271 -0.8554 -0.8885 -0.9275
 -2.0885 -1.9561 -1.8486 -1.7555 -1.6717 -1.5959 -1.5246 -1.4454 -1.3576 -1.2763
 -1.2066 -1.1473 -1.0950 -1.0472 -1.0036 -0.9160 -0.8565 -0.8200 -0.8036 -0.8033
 -0.8159 -0.8374 -0.8645 -0.8959 -0.9313 -0.9717
 -2.0162 -1.8550 -1.7235 -1.6196 -1.5394 -1.4763 -1.4205 -1.3639 -1.3000 -1.2353
 -1.1765 -1.1253 -1.0802 -1.0389 -1.0000 -0.9179 -0.8616 -0.8272 -0.8120 -0.8123
 -0.8248 -0.8463 -0.8732 -0.9037 -0.9375 -0.9747 -1.0160 -1.0623 -1.1135 -1.1639
 -1.9945 -1.8195 -1.6693 -1.5438 -1.4423 -1.3618 -1.2986 -1.2499 -1.2096 -1.1726
 -1.1353 -1.0972 -1.0598 -1.0246 -0.9914 -0.9168 -0.8635 -0.8313 -0.8172 -0.8181
 -0.8311 -0.8533 -0.8810 -0.9118 -0.9449 -0.9805 -1.0189 -1.0607 -1.1070 -1.1583
 -1.2098
 -1.9949 -1.8135 -1.6541 -1.5170 -1.4017 -1.3079 -1.2330 -1.1733 -1.1249 -1.0862
 -1.0579 -1.0379 -1.0200 -0.9996 -0.9755 -0.9120 -0.8623 -0.8321 -0.8191 -0.8206
 -0.8343 -0.8574 -0.8867 -0.9190 -0.9529 -0.9880 -1.0251 -1.0642 -1.1067 -1.1527
 -1.2039
 -2.0015 -1.8178 -1.6548 -1.5115 -1.3887 -1.2864 -1.2031 -1.1362 -1.0827 -1.0394
 -1.0043 -0.9771 -0.9582 -0.9460 -0.9359 -0.9004 -0.8569 -0.8292 -0.8175 -0.8198
 -0.8342 -0.8584 -0.8897 -0.9244 -0.9603 -0.9966 -1.0337 -1.0718 -1.1117 -1.1542
 -1.2006
 -2.0039 -1.8253 -1.6619 -1.5167 -1.3900 -1.2826 -1.1938 -1.1215 -1.0631 -1.0160
 -0.9778 -0.9466 -0.9214 -0.9021 -0.8888 -0.8704 -0.8470 -0.8229 -0.8127 -0.8155
 -0.8301 -0.8550 -0.8878 -0.9253 -0.9641 -1.0027 -1.0413 -1.0798 -1.1190 -1.1594
 -1.2021
 -1.9979 -1.8229 -1.6638 -1.5198 -1.3923 -1.2829 -1.1913 -1.1159 -1.0542 -1.0039
 -0.9627 -0.9289 -0.9010 -0.8781 -0.8597 -0.8336 -0.8226 -0.8118 -0.8044 -0.8080
 -0.8227 -0.8478 -0.8816 -0.9214 -0.9634 -1.0054 -1.0467 -1.0871 -1.1271 -1.1674
 -1.2083
 -1.9971 -1.8170 -1.6571 -1.5154 -1.3889 -1.2796 -1.1873 -1.1105 -1.0475 -0.9956
 -0.9527 -0.9170 -0.8873 -0.8624 -0.8486 -0.7900 -0.7837 -0.7959 -0.7926
 [Fe/H] = -0.75 [alpha/Fe] = 0.30 BC value =  i   
 -3.2710 -3.1650 -3.0549 -2.9306 -2.8019 -2.6169 -2.3435 -1.9963 -1.7144 -1.4650
 -1.3170 -1.2097 -1.1261 -1.0568 -0.9967 -0.8756
 -2.9636 -2.8530 -2.7487 -2.6405 -2.5236 -2.3705 -2.1522 -1.8716 -1.6173 -1.4280
 -1.2944 -1.1948 -1.1159 -1.0506 -0.9946 -0.8837 -0.8046 -0.7533 -0.7286
 -2.7160 -2.5966 -2.4920 -2.3927 -2.2876 -2.1623 -1.9918 -1.7690 -1.5614 -1.3981
 -1.2770 -1.1842 -1.1095 -1.0474 -0.9945 -0.8913 -0.8189 -0.7726 -0.7508 -0.7502
 -0.7646
 -2.5282 -2.3958 -2.2848 -2.1872 -2.0938 -1.9924 -1.8623 -1.6885 -1.5176 -1.3753
 -1.2648 -1.1779 -1.1069 -1.0472 -0.9964 -0.8984 -0.8310 -0.7884 -0.7682 -0.7670
 -0.7806 -0.8041 -0.8355
 -2.3887 -2.2437 -2.1227 -2.0202 -1.9294 -1.8419 -1.7441 -1.6126 -1.4735 -1.3510
 -1.2514 -1.1711 -1.1043 -1.0472 -0.9983 -0.9044 -0.8407 -0.8008 -0.7822 -0.7807
 -0.7930 -0.8151 -0.8435 -0.8777 -0.9179
 -2.2472 -2.1110 -1.9918 -1.8872 -1.7944 -1.7108 -1.6300 -1.5343 -1.4243 -1.3210
 -1.2332 -1.1605 -1.0990 -1.0455 -0.9988 -0.9086 -0.8480 -0.8104 -0.7930 -0.7917
 -0.8033 -0.8245 -0.8518 -0.8839 -0.9205 -0.9619
 -2.1252 -1.9651 -1.8387 -1.7400 -1.6606 -1.5901 -1.5213 -1.4502 -1.3677 -1.2839
 -1.2085 -1.1442 -1.0890 -1.0404 -0.9968 -0.9105 -0.8527 -0.8172 -0.8008 -0.8001
 -0.8115 -0.8324 -0.8594 -0.8906 -0.9252 -0.9633 -1.0059 -1.0537 -1.1057 -1.1567
 -2.0825 -1.9018 -1.7496 -1.6259 -1.5269 -1.4481 -1.3857 -1.3343 -1.2840 -1.2297
 -1.1742 -1.1212 -1.0732 -1.0302 -0.9909 -0.9098 -0.8547 -0.8211 -0.8057 -0.8056
 -0.8173 -0.8385 -0.8660 -0.8974 -0.9315 -0.9681 -1.0079 -1.0509 -1.0986 -1.1508
 -1.2026
 -2.0759 -1.8847 -1.7191 -1.5784 -1.4620 -1.3678 -1.2917 -1.2295 -1.1775 -1.1340
 -1.1000 -1.0714 -1.0428 -1.0118 -0.9794 -0.9061 -0.8538 -0.8221 -0.8077 -0.8080
 -0.8203 -0.8420 -0.8707 -0.9034 -0.9381 -0.9745 -1.0127 -1.0533 -1.0968 -1.1444
 -1.1969
 -2.0845 -1.8877 -1.7147 -1.5646 -1.4371 -1.3314 -1.2454 -1.1758 -1.1187 -1.0710
