 [Fe/H] = -2.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.0529 -7.8072 -7.6494 -7.4551 -7.2081 -6.9956 -6.8830 -6.8129 -6.6972 -6.5103
 -6.2886 -6.0440 -5.7943 -5.5538 -5.3192 -4.7689 -4.2748 -3.8698 -3.5387
 -7.7304 -7.3965 -7.1461 -6.9350 -6.7546 -6.6024 -6.4703 -6.3447 -6.2113 -6.0611
 -5.8880 -5.6886 -5.4679 -5.2442 -5.0314 -4.5510 -4.1298 -3.7765 -3.4953 -3.2788
 -7.5159 -7.1358 -6.8308 -6.5949 -6.4226 -6.2806 -6.1377 -5.9932 -5.8516 -5.7117
 -5.5609 -5.3923 -5.2007 -4.9970 -4.8027 -4.3767 -4.0138 -3.7051 -3.4614 -3.2714
 -3.1170
 -7.4094 -7.0251 -6.7035 -6.4348 -6.2121 -6.0302 -5.8852 -5.7584 -5.6181 -5.4621
 -5.3073 -5.1551 -4.9927 -4.8122 -4.6331 -4.2460 -3.9268 -3.6556 -3.4370 -3.2653
 -3.1251 -3.0050
 -7.3362 -6.9623 -6.6424 -6.3665 -6.1266 -5.9182 -5.7373 -5.5797 -5.4408 -5.3060
 -5.1548 -4.9944 -4.8400 -4.6803 -4.5154 -4.1552 -3.8658 -3.6233 -3.4248 -3.2677
 -3.1392 -3.0287 -2.9302 -2.8406
 -7.2627 -6.9103 -6.6026 -6.3309 -6.0884 -5.8699 -5.6727 -5.4948 -5.3336 -5.1853
 -5.0443 -4.9001 -4.7505 -4.6001 -4.4433 -4.0976 -3.8269 -3.6041 -3.4204 -3.2744
 -3.1560 -3.0543 -2.9633 -2.8800 -2.8026 -2.7306 -2.6645 -2.6020 -2.5458 -2.5113
 -7.1746 -6.8514 -6.5639 -6.3046 -6.0674 -5.8487 -5.6461 -5.4579 -5.2843 -5.1236
 -4.9731 -4.8296 -4.6888 -4.5513 -4.4081 -4.0696 -3.8058 -3.5949 -3.4209 -3.2824
 -3.1720 -3.0786 -2.9955 -2.9190 -2.8475 -2.7802 -2.7175 -2.6592 -2.6060 -2.5614
 -2.5362
 -7.0737 -6.7797 -6.5161 -6.2749 -6.0495 -5.8371 -5.6356 -5.4448 -5.2649 -5.0966
 -4.9390 -4.7905 -4.6496 -4.5147 -4.3828 -4.0642 -3.7999 -3.5935 -3.4252 -3.2902
 -3.1849 -3.0988 -3.0235 -2.9546 -2.8900 -2.8286 -2.7706 -2.7162 -2.6661 -2.6218
 -2.5882
 -6.9610 -6.6947 -6.4536 -6.2320 -6.0224 -5.8210 -5.6262 -5.4382 -5.2578 -5.0862
 -4.9240 -4.7714 -4.6276 -4.4918 -4.3622 -4.0599 -3.8025 -3.5961 -3.4305 -3.2969
 -3.1934 -3.1120 -3.0440 -2.9832 -2.9265 -2.8722 -2.8204 -2.7710 -2.7246 -2.6824
 -2.6468
 -6.8515 -6.6107 -6.3867 -6.1809 -5.9869 -5.7990 -5.6153 -5.4346 -5.2581 -5.0875
 -4.9240 -4.7689 -4.6225 -4.4849 -4.3548 -4.0591 -3.8092 -3.6039 -3.4393 -3.3062
 -3.2019 -3.1219 -3.0585 -3.0049 -2.9563 -2.9102 -2.8659 -2.8232 -2.7822 -2.7437
 -2.7079
 -6.7492 -6.5247 -6.3161 -6.1213 -5.9381 -5.7633 -5.5920 -5.4221 -5.2538 -5.0883
 -4.9273 -4.7724 -4.6249 -4.4855 -4.3541 -4.0593 -3.8142 -3.6113 -3.4472 -3.3148
 -3.2098 -3.1291 -3.0673 -3.0183 -2.9768 -2.9390 -2.9031 -2.8682 -2.8342 -2.8015
 -2.7708
 -6.6541 -6.4367 -6.2402 -6.0543 -5.8794 -5.7133 -5.5528 -5.3947 -5.2370 -5.0805
 -4.9259 -4.7749 -4.6290 -4.4896 -4.3601 -4.0605 -3.8175 -3.6183 -3.4542
 [Fe/H] = -2.00 [alpha/Fe] = 0.40 BC value =  B   
 -8.1947 -7.8893 -7.6353 -7.4207 -7.2344 -7.0617 -6.8888 -6.7062 -6.5130 -6.3104
 -6.0931 -5.8611 -5.6230 -5.3941 -5.1688 -4.6908 -4.2639 -3.8859 -3.5772
 -7.8121 -7.4696 -7.1862 -6.9547 -6.7618 -6.5931 -6.4354 -6.2754 -6.1102 -5.9373
 -5.7508 -5.5470 -5.3293 -5.1144 -4.9147 -4.4814 -4.1115 -3.7877 -3.5169 -3.3010
 -7.5292 -7.1467 -6.8421 -6.6179 -6.4130 -6.2381 -6.0831 -5.9357 -5.7884 -5.6375
 -5.4778 -5.3035 -5.1108 -4.9102 -4.7215 -4.3213 -3.9939 -3.7126 -3.4736 -3.2801
 -3.1207
 -7.3753 -6.9628 -6.6354 -6.3816 -6.1799 -6.0098 -5.8543 -5.7021 -5.5542 -5.4103
 -5.2657 -5.1152 -4.9505 -4.7686 -4.5892 -4.2105 -3.9111 -3.6606 -3.4473 -3.2718
 -3.1279 -3.0055
 -7.3568 -6.9322 -6.5774 -6.2943 -6.0678 -5.8810 -5.7197 -5.5719 -5.4277 -5.2796
 -5.1271 -4.9792 -4.8315 -4.6728 -4.5043 -4.1389 -3.8567 -3.6270 -3.4332 -3.2722
 -3.1397 -3.0268 -2.9270 -2.8366
 -7.3863 -6.9529 -6.5872 -6.2806 -6.0231 -5.8060 -5.6213 -5.4618 -5.3211 -5.1937
 -5.0606 -4.9107 -4.7589 -4.6088 -4.4531 -4.0968 -3.8237 -3.6070 -3.4271 -3.2775
 -3.1546 -3.0503 -2.9581 -2.8741 -2.7966 -2.7247 -2.6589 -2.5966 -2.5402 -2.5055
 -7.4322 -7.0002 -6.6296 -6.3150 -6.0465 -5.8150 -5.6133 -5.4357 -5.2770 -5.1315
 -4.9951 -4.8629 -4.7249 -4.5810 -4.4304 -4.0767 -3.8063 -3.5967 -3.4257 -3.2845
 -3.1693 -3.0731 -2.9885 -2.9114 -2.8398 -2.7728 -2.7106 -2.6530 -2.5999 -2.5548
 -2.5298
 -7.4717 -7.0524 -6.6858 -6.3685 -6.0932 -5.8523 -5.6386 -5.4469 -5.2735 -5.1149
 -4.9665 -4.8256 -4.6903 -4.5586 -4.4237 -4.0772 -3.8011 -3.5934 -3.4276 -3.2915
 -3.1817 -3.0922 -3.0152 -2.9457 -2.8810 -2.8198 -2.7624 -2.7087 -2.6594 -2.6153
 -2.5814
 -7.4841 -7.0836 -6.7325 -6.4217 -6.1465 -5.9008 -5.6792 -5.4776 -5.2927 -5.1223
 -4.9636 -4.8144 -4.6726 -4.5377 -4.4087 -4.0858 -3.8062 -3.5940 -3.4300 -3.2968
 -3.1898 -3.1051 -3.0350 -2.9734 -2.9163 -2.8623 -2.8110 -2.7624 -2.7169 -2.6755
 -2.6403
 -7.4704 -7.1010 -6.7687 -6.4707 -6.2020 -5.9571 -5.7319 -5.5237 -5.3306 -5.1511
 -4.9836 -4.8265 -4.6784 -4.5381 -4.4055 -4.0948 -3.8225 -3.6036 -3.4369 -3.3044
 -3.1980 -3.1149 -3.0494 -2.9946 -2.9455 -2.8995 -2.8557 -2.8137 -2.7736 -2.7361
 -2.7014
 -7.4362 -7.0950 -6.7840 -6.5013 -6.2434 -6.0054 -5.7829 -5.5731 -5.3754 -5.1896
 -5.0152 -4.8516 -4.6976 -4.5523 -4.4150 -4.1025 -3.8364 -3.6171 -3.4457 -3.3120
 -3.2055 -3.1222 -3.0583 -3.0081 -2.9659 -2.9280 -2.8924 -2.8581 -2.8249 -2.7931
 -2.7634
 -7.3826 -7.0696 -6.7809 -6.5142 -6.2669 -6.0368 -5.8211 -5.6157 -5.4188 -5.2307
 -5.0522 -4.8837 -4.7250 -4.5753 -4.4372 -4.1089 -3.8479 -3.6345 -3.4564
 [Fe/H] = -1.50 [alpha/Fe] = 0.40 BC value =  B   
 -8.4913 -8.2551 -8.0311 -7.8115 -7.5935 -7.3583 -7.0862 -6.7784 -6.4884 -6.2211
 -5.9657 -5.7166 -5.4771 -5.2551 -5.0527 -4.6168 -4.2414 -3.9033 -3.6074
 -8.0445 -7.7763 -7.5297 -7.2992 -7.0783 -6.8588 -6.6245 -6.3709 -6.1303 -5.9035
 -5.6820 -5.4586 -5.2352 -5.0228 -4.8291 -4.4213 -4.0861 -3.7947 -3.5381 -3.3205
 -7.7297 -7.4248 -7.1519 -6.9069 -6.6842 -6.4765 -6.2724 -6.0595 -5.8537 -5.6580
 -5.4664 -5.2709 -5.0676 -4.8652 -4.6774 -4.2869 -3.9776 -3.7176 -3.4911 -3.2962
 -3.1336
 -7.5355 -7.1778 -6.8818 -6.6269 -6.3977 -6.1923 -6.0035 -5.8190 -5.6389 -5.4668
 -5.2990 -5.1294 -4.9506 -4.7628 -4.5807 -4.1996 -3.9058 -3.6661 -3.4613 -3.2844
 -3.1354 -3.0088
 -7.4638 -7.0525 -6.7107 -6.4272 -6.1912 -5.9940 -5.8229 -5.6542 -5.4872 -5.3264
 -5.1718 -5.0199 -4.8641 -4.6965 -4.5229 -4.1467 -3.8610 -3.6338 -3.4440 -3.2814
 -3.1436 -3.0265 -2.9241 -2.8324
 -7.5064 -7.0566 -6.6702 -6.3451 -6.0765 -5.8558 -5.6753 -5.5261 -5.3904 -5.2510
 -5.0993 -4.9475 -4.7996 -4.6501 -4.4905 -4.1184 -3.8350 -3.6150 -3.4352 -3.2835
 -3.1553 -3.0467 -2.9520 -2.8668 -2.7888 -2.7170 -2.6512 -2.5890 -2.5326 -2.4972
 -7.6146 -7.1316 -6.7157 -6.3642 -6.0701 -5.8257 -5.6226 -5.4513 -5.3031 -5.1724
 -5.0499 -4.9179 -4.7717 -4.6224 -4.4728 -4.1078 -3.8224 -3.6052 -3.4318 -3.2879
 -3.1676 -3.0667 -2.9795 -2.9013 -2.8293 -2.7625 -2.7008 -2.6440 -2.5912 -2.5454
 -2.5196
 -7.7719 -7.2595 -6.8159 -6.4391 -6.1227 -5.8573 -5.6334 -5.4430 -5.2784 -5.1319
 -4.9976 -4.8715 -4.7477 -4.6153 -4.4723 -4.1109 -3.8199 -3.6018 -3.4315 -3.2929
 -3.1791 -3.0841 -3.0041 -2.9332 -2.8681 -2.8072 -2.7505 -2.6970 -2.6481 -2.6056
 -2.5707
 -7.9322 -7.4118 -6.9472 -6.5499 -6.2125 -5.9270 -5.6839 -5.4747 -5.2922 -5.1304
 -4.9833 -4.8461 -4.7156 -4.5904 -4.4647 -4.1243 -3.8241 -3.6014 -3.4316 -3.2962
 -3.1859 -3.0963 -3.0226 -2.9592 -2.9016 -2.8478 -2.7972 -2.7496 -2.7053 -2.6650
 -2.6300
 -8.0670 -7.5576 -7.0954 -6.6882 -6.3353 -6.0318 -5.7702 -5.5428 -5.3424 -5.1638
 -5.0023 -4.8535 -4.7139 -4.5812 -4.4545 -4.1417 -3.8444 -3.6101 -3.4369 -3.3018
 -3.1933 -3.1062 -3.0367 -2.9796 -2.9296 -2.8835 -2.8403 -2.7991 -2.7602 -2.7241
 -2.6907
 -8.1556 -7.6725 -7.2287 -6.8241 -6.4675 -6.1536 -5.8780 -5.6343 -5.4174 -5.2227
 -5.0461 -4.8843 -4.7342 -4.5934 -4.4601 -4.1509 -3.8680 -3.6277 -3.4457 -3.3083
 -3.1998 -3.1134 -3.0459 -2.9930 -2.9495 -2.9112 -2.8759 -2.8423 -2.8101 -2.7796
 -2.7513
 -8.1808 -7.7374 -7.3229 -6.9374 -6.5881 -6.2743 -5.9927 -5.7387 -5.5088 -5.2998
 -5.1092 -4.9345 -4.7733 -4.6232 -4.4815 -4.1519 -3.8949 -3.6542 -3.4580
 [Fe/H] = -1.00 [alpha/Fe] = 0.40 BC value =  B   
 -8.9201 -8.7619 -8.6006 -8.4249 -8.2306 -7.9684 -7.5862 -7.0848 -6.6069 -6.2150
